USERID,INTEREST
1,watches
2,apparel
3,shoes
4,gadgets
5,animals
5,bikes
5,nature
5,water sports
6,city
6,travel
7,cartoons
7,space
8,cats
8,wallets
9,buildings
10,cars
11,Food
11,Nature
12,Nature
12,Games
12,Music
13,Science
13,Comics
14,Food
14,Science
14,Comics
14,Games
14,Art
15,Music
15,Celebrities
15,News
16,Vehicle
17,swimming
18,basketball
19,football
20,movie
21,swimming
22,swimming
23,reading
24,reading
25,nature
25,football
26,Soccer
27,animal
27,life style
27,movie
70,Sports
71,Sports
72,Sports
73,Sports
74,Sports
75,Sports
76,Sports
77,Sports
78,Sports
79,Sports
80,Sports
81,Sports
82,Sports
83,Sports
84,Sports
85,Sports
86,Sports
87,Sports
88,Sports
89,Sports
90,Sports
91,Sports
92,Sports
93,Sports
94,Sports
95,Sports
96,Sports
97,Sports
98,Sports
99,Sports
100,Sports
101,Sports
102,Sports
103,Sports
104,Sports
105,Sports
106,Sports
107,Sports
108,Sports
109,Sports
110,Sports
111,
      ,
112,
      ,
113,
      ,
114,
      ,
115
      
116
      
117
      
118
      
119
      
120
      
121
      
122
      
123,
      ,
124,
      ,
125,
      ,
126,crew
126,computer science
126,Orlando Magic
126,Delt Tau Delta
127,horses
127,psychology
127,Alpha Phi
128,Miami
128,computer science
128,graduate school
129,poetry
129,Delta Phi
130,California
130,photography
130,medicine
131,sailing
132,Theta
132,Colombia
132,equestrain vaulting
133,surfing
133,Delta Tau Delta
134,unicycling
134,gymnastics
134,Delta Tau Delta
135,computer science
135,Delta Tau Delta
136,music
137,animals
138,zoology
139,volleyball
140,chemistry
141,dancing
141,water sports
142,volleyball
143,animals
143,swimming
144,hockey
144,pop music
145,justin bieber
145,polo
145,swimming
146,lady gaga
147,golf
147,volleyball
148,ladies
149,basketball
150,basketball
151,meme
152,olympics
153,poker
154,card
155,sports
170,reading
170,writing
170,walking
170,matthew
171,reading
171,walking
171,riding
171,gardening
172,reading
172,writing
172,working
173,shopping
173,prettyDresses
173,flowers
173,daughters
174,riding
174,reading
174,isis
174,dogs
175,reading
175,gardening
175,jokes
175,tradition
176,reading
176,changes
176,volunteer
177,reading
177,writing
177,working
177,mary
177,church
177,bicycles
178,chemistry
178,cooking
179,business
179,parenting
180,cooking
181,law
182,food
182,business
183,minerals
184,purple
184,shopping
185,philadelphia
185,cleaning
186,catFight
186,pillowFight
186,couchPotatoing
187,smile
187,daydream
187,sweets
188,movie
188,stapleThingsToMyBossHead
189,sleep
189,eat
189,chocolate
190,opera
190,photography
190,history
191,babysitting
191,flirtingWithMrSheffield
192,music
192,windowShopping
192,beatBoxing
192,makingNoise
193,shopping
193,yawning
193,singing
194,daydreaming
194,cooking
195,chemistry
195,math
195,computer
195,apple
196,Boxing
197,coding
198,Drawing
199,reading
200,Lecturing
201,drawing
202,coding
203,running
204,fencing
205,Play football
206,Cooking
206,Design
207,Business
207,Coffee
207,Social media
208,Sports
208,Technology
208,Travel
210,Cycling
210,Hiking
210,Photography
211,Cooking
211,Eating
212,Shopping
213,Studying
213,Traveling
214,sports
215,music
216,movie,
217,arts,
218,basketball, tennis
219,tennis,
220,shopping,
221,working out,
222,sad,
222,inspirational,
222,party,
223,sad,
223,reaction,
223,stupid,
224,woah,
224,reaction,
224,fruit,
225,woah,
225,sad
225,fruit
226,sad
226,meme
226,reaction
227,gross
227,gif
227,meme
228,gif
228,reaction
228,stupid
229,funny
229,gross
229,quote
230,gif
230,fashion
230,sports
231,funny
231,high resolution
231,sad
232,meme
232,quote
232,fashion
233,sad
233,meme
233,reaction
234,funny
234,gross
234,games
235,woah
235,sad
235,sports
236,meme
236,reaction
236,stupid
237,gross
237,high resolution
237,party
238,high resolution
238,baby
238,sports
239,gross
239,meme
239,reaction
240,gross
240,inspirational
240,party
241,high resolution
241,meme
241,fashion
242,woah
242,sad
242,reaction
243,funny
243,psychedelic
243,animal
244,woah
244,sad
244,meme
245,gif
245,meme
245,reaction
246,high resolution
246,woah
246,sad
247,meme
247,reaction
247,stupid
248,funny
248,psychedelic
248,baby
249,high resolution
249,sad
249,sports
250,woah
250,sad
250,meme
251,gross
251,reaction
251,animal
252,gross
252,party
252,sports
253,gross
253,high resolution
253,party
254,sad
254,meme
254,baby
255,gross
255,gif
255,fruit
256,gif
256,baby
256,sports
257,sad
257,quote
257,fashion
258,meme
258,fruit
258,party
259,funny
259,gross
259,meme
260,sad
260,psychedelic
260,fruit
261,meme
261,inspirational
261,music
293,nba
294,barclays
