OBJECTID,SOURCEID,TAG
11000,AbsolutDB,priyanka
12000,AbsolutDB,chopra
13000,AbsolutDB,hot
14000,AbsolutDB,model
15000,AbsolutDB,actress
16000,AbsolutDB,singer
17000,AbsolutDB,bollywood
18000,AbsolutDB,hollywood
19000,AbsolutDB,pretty
20000,AbsolutDB,beautiful
21000,AbsolutDB,sexy
22000,AbsolutDB,exotic
23000,AbsolutDB,celeb
24000,AbsolutDB,famous
25000,AbsolutDB,fat
1000,AbsolutDB,sachin
2000,AbsolutDB,master
3000,AbsolutDB,blaster
4000,AbsolutDB,centurian
5000,AbsolutDB,100
6000,AbsolutDB,little
7000,AbsolutDB,curly hair
8000,AbsolutDB,cricketer
9000,AbsolutDB,god of cricket
10000,AbsolutDB,player
26000,AbsolutDB,green
27000,AbsolutDB,trees
28000,AbsolutDB,grass
29000,AbsolutDB,beautiful
30000,AbsolutDB,buildings
31000,AbsolutDB,city life
32000,AbsolutDB,animation
33000,AbsolutDB,graphics
34000,AbsolutDB,leather
35000,AbsolutDB,sleek
36000,AbsolutDB,office concrete
37000,AbsolutDB,huge tall
38000,AbsolutDB,clothing
39000,AbsolutDB,sale
40000,AbsolutDB,wheels
41000,AbsolutDB,race
42000,AbsolutDB,bag
43000,AbsolutDB,world
44000,AbsolutDB,dark
45000,AbsolutDB,infinity
46000,AbsolutDB,waves
47000,AbsolutDB,sea
48000,AbsolutDB,wildlife
49000,AbsolutDB,beautiful
50000,AbsolutDB,asia
51000,AbsolutDB,footwear
52000,AbsolutDB,comfortable
53000,AbsolutDB,sleek
54000,AbsolutDB,simple
55000,AbsolutDB,fast
56000,AbsolutDB,expensive
57000,AbsolutDB,rolex watch
58000,AbsolutDB,expensive rolex
1,C3Z,frog colorful
2,C3Z,colorful vegetable heart
3,C3Z,colorful vegetable health
1,GGROUP-1,earphone miniature street
2,GGROUP-1,Obama entertainment
3,GGROUP-1,Mario
4,GGROUP-1,Xfactor entertainment
1,GGROUP-2,miniature dog Rugby
2,GGROUP-2,health Red-Cross
101,phantom,Yellowstone
102,phantom,Yellowstone
103,phantom,Yellowstone
104,phantom,Yellowstone
105,phantom,Grand Canyon
106,phantom,Grand Canyon
107,phantom,Grand Canyon
108,phantom,California
109,phantom,California
110,phantom,California
1,m,nature forest
2,m,nature mountain
3,m,science chemistry
4,m,food
5,m,food
6,m,food
7,m,Messi
8,m,Conan
9,m,Conan
1,TeamBYOBrain,
41,TeamBYOBrain,Nature Nature
42,TeamBYOBrain,Nature Nature Nature
43,TeamBYOBrain,Nature Nature
44,TeamBYOBrain,Nature
45,TeamBYOBrain,Nature Nature
61,TeamBYOBrain,Cats! Kitty!
62,TeamBYOBrain,Summer Weather
63,TeamBYOBrain,Cartoon Animation
64,TeamBYOBrain,Dragon Fiction
65,TeamBYOBrain,Music Band
2,TeamBYOBrain,Banana Fruit
3,TeamBYOBrain,Plane Flying
4,TeamBYOBrain,Green
5,TeamBYOBrain,Leaves
6,TeamBYOBrain,Taco
7,TeamBYOBrain,Cats Farming
21,TeamBYOBrain,Goldens Puppies BestBreed
22,TeamBYOBrain,CoolCat DealWithIt Meh
23,TeamBYOBrain,SoundOfAnts
24,TeamBYOBrain,Arctic
25,TeamBYOBrain,Stunning Beauty
26,TeamBYOBrain,UglyCat
3,weerocks,penn
4,weerocks,love penn sculpture
5,weerocks,fisher library penn
6,weerocks,benfranklin penn statue
7,weerocks,engineering penn racing
8,weerocks,library penn vanpelt
9,weerocks,architecture penn
10,weerocks,penn
11,weerocks,darkseer dota support
12,weerocks,ancientapparition dota support
13,weerocks,dota ganker invoker
14,weerocks,carry dota shadowfiend
15,weerocks,dota shadowdemon support
22,weerocks,penn young
23,weerocks,bored penn
24,weerocks,formal penn
26,weerocks,penn prank
1,N,#awesome #cool #funny #insane #interesting #memorable #radical #wow
2,N,#interesting #memorable #radical #wow
3,N,#cool #insane #radical
4,N,#radical #wow
5,N,#wow
2,GroupB,DB compsci
3,GroupB,equestrian horses
10,GroupB,Stanford gradschool
