OBJECTID,SOURCEID,USERID,BOARDID
57000,AbsolutDB,1,101
58000,AbsolutDB,1,101
38000,AbsolutDB,2,202
39000,AbsolutDB,2,202
51000,AbsolutDB,3,303
52000,AbsolutDB,3,303
53000,AbsolutDB,4,404
54000,AbsolutDB,4,404
26000,AbsolutDB,5,505
27000,AbsolutDB,5,505
28000,AbsolutDB,5,505
29000,AbsolutDB,5,505
40000,AbsolutDB,5,506
41000,AbsolutDB,5,506
46000,AbsolutDB,5,507
47000,AbsolutDB,5,507
48000,AbsolutDB,5,508
49000,AbsolutDB,5,508
50000,AbsolutDB,5,508
30000,AbsolutDB,6,609
31000,AbsolutDB,6,609
42000,AbsolutDB,6,610
43000,AbsolutDB,6,610
32000,AbsolutDB,7,711
33000,AbsolutDB,7,711
44000,AbsolutDB,7,712
45000,AbsolutDB,7,712
11000,AbsolutDB,8,814
12000,AbsolutDB,8,814
13000,AbsolutDB,8,814
14000,AbsolutDB,8,814
15000,AbsolutDB,8,814
16000,AbsolutDB,8,814
17000,AbsolutDB,8,814
18000,AbsolutDB,8,814
19000,AbsolutDB,8,814
20000,AbsolutDB,8,814
21000,AbsolutDB,8,814
22000,AbsolutDB,8,814
23000,AbsolutDB,8,814
24000,AbsolutDB,8,814
25000,AbsolutDB,8,814
1000,AbsolutDB,8,814
2000,AbsolutDB,8,814
3000,AbsolutDB,8,814
4000,AbsolutDB,8,814
5000,AbsolutDB,8,814
6000,AbsolutDB,8,814
10000,AbsolutDB,8,814
7000,AbsolutDB,8,814
8000,AbsolutDB,8,814
9000,AbsolutDB,8,814
34000,AbsolutDB,8,813
35000,AbsolutDB,8,813
36000,AbsolutDB,9,915
37000,AbsolutDB,9,915
55000,AbsolutDB,10,1016
56000,AbsolutDB,10,1016
1,C3Z,11,1117
2,C3Z,11,1117
3,C3Z,11,1118
1,C3Z,12,1219
1,GGROUP-2,12,1220
1,GGROUP-2,14,1422
2,GGROUP-1,14,1422
3,GGROUP-1,14,1422
4,GGROUP-1,15,1523
1,C3Z,16,1624
2,GGROUP-2,16,1624
101,phantom,17,1725
102,phantom,18,1826
103,phantom,19,1927
104,phantom,20,2028
105,phantom,21,2129
106,phantom,22,2230
107,phantom,23,2331
1,m,25,2533
4,m,25,2533
