OBJECTID,SOURCEID,USERID,SCORE
5000,AbsolutDB,1,3
4000,AbsolutDB,2,4
5000,AbsolutDB,3,5
1000,AbsolutDB,5,5
6000,AbsolutDB,5,5
9000,AbsolutDB,5,1
1000,AbsolutDB,6,1
2000,AbsolutDB,6,4
7000,AbsolutDB,6,4
10000,AbsolutDB,6,2
1000,AbsolutDB,7,4
7000,AbsolutDB,7,3
11000,AbsolutDB,7,2
3000,AbsolutDB,8,3
8000,AbsolutDB,8,2
10000,AbsolutDB,8,5
4000,AbsolutDB,9,2
10000,AbsolutDB,9,5
1,C3Z,11,5
2,C3Z,11,5
1,GGROUP-1,11,5
4,GGROUP-1,11,1
2,C3Z,12,3
3,C3Z,12,4
1,GGROUP-1,12,4
3,GGROUP-1,12,4
4,GGROUP-1,12,5
1,GGROUP-2,12,3
1,GGROUP-1,13,3
2,GGROUP-1,13,3
1,GGROUP-2,13,5
3,C3Z,14,5
2,GGROUP-1,14,5
1,GGROUP-2,14,2
2,GGROUP-2,14,5
1,GGROUP-1,15,3
1,GGROUP-2,15,4
3,GGROUP-1,16,5
1,GGROUP-2,16,3
101,phantom,17,2
102,phantom,18,3
103,phantom,19,4
104,phantom,20,5
105,phantom,21,5
106,phantom,22,5
107,phantom,23,1
1,m,25,3
4,m,25,4
8,m,25,0
4,m,26,0
2,m,26,0
2,m,27,0
8,m,27,0
2,weerocks,71,2
3,weerocks,72,3
4,weerocks,73,4
5,weerocks,74,5
6,weerocks,75,5
7,weerocks,76,5
8,weerocks,77,5
9,weerocks,78,5
10,weerocks,79,5
11,weerocks,80,1
12,weerocks,81,2
13,weerocks,82,3
14,weerocks,83,4
15,weerocks,84,5
16,weerocks,85,5
17,weerocks,86,5
18,weerocks,87,5
19,weerocks,88,5
20,weerocks,89,1
21,weerocks,90,2
22,weerocks,91,3
23,weerocks,92,4
24,weerocks,93,5
26,weerocks,95,5
1,weerocks,96,5
2,weerocks,97,5
3,weerocks,98,5
4,weerocks,99,5
5,weerocks,100,5
6,weerocks,101,5
7,weerocks,102,5
8,weerocks,103,5
9,weerocks,104,5
10,weerocks,105,5
11,weerocks,106,5
12,weerocks,107,5
13,weerocks,108,5
14,weerocks,109,5
1,weerocks,110,1
5,N,112,4
1,N,112,4
5,N,113,4
2,N,113,2
3,N,113,5
1,N,114,3
5,N,114,1
3,N,114,1
4,N,115,2
2,N,116,4
4,N,116,3
1,N,116,1
5,N,116,5
5,N,117,2
2,N,117,3
3,N,117,2
1,N,118,4
2,N,118,4
5,N,118,5
5,N,119,1
1,N,119,4
2,N,119,3
5,N,121,2
2,N,123,2
1,N,124,2
5,N,124,3
2,N,125,5
11,GroupB,126,3
2,GroupB,126,5
3,GroupB,127,2
4,GroupB,128,4
4,Champion,136,5
36,Champion,137,3
4,Champion,138,5
4,Champion,139,4
17,Champion,139,1
5,Champion,140,3
6,Champion,141,4
7,Champion,142,4
19,Champion,142,5
8,Champion,143,5
9,Champion,144,2
10,Champion,145,1
12,Champion,146,5
13,Champion,147,4
15,Champion,148,3
17,Champion,148,5
15,Champion,149,4
16,Champion,150,5
17,Champion,151,4
1,Champion,155,2
18,Champion,155,2
101,MOSTLY HARMLESS,156,4
102,MOSTLY HARMLESS,156,3
102,MOSTLY HARMLESS,157,5
101,MOSTLY HARMLESS,157,4
103,MOSTLY HARMLESS,158,5
112,MOSTLY HARMLESS,159,3
113,MOSTLY HARMLESS,160,4
111,MOSTLY HARMLESS,161,2
112,MOSTLY HARMLESS,162,5
111,MOSTLY HARMLESS,163,4
112,MOSTLY HARMLESS,163,5
116,MOSTLY HARMLESS,165,1
118,MOSTLY HARMLESS,166,5
117,MOSTLY HARMLESS,168,4
117,MOSTLY HARMLESS,169,2
301,mockingJay,170,5
302,mockingJay,170,2
308,mockingJay,170,5
302,mockingJay,171,5
307,mockingJay,172,5
305,mockingJay,173,5
304,mockingJay,174,5
305,mockingJay,175,5
304,mockingJay,175,4
308,mockingJay,176,5
301,mockingJay,176,5
306,mockingJay,176,5
301,mockingJay,177,5
305,mockingJay,177,5
307,mockingJay,177,5
308,mockingJay,177,4
